회사명,corp_eng_name,종목코드,is_defaulted
하나금융25호기업인수목적,Hana Financial Twenty-five SPAC,435620,0
하나금융24호기업인수목적,Hana Financial Twenty-four SPAC,430230,0
하나금융23호기업인수목적,Hana Financial Twenty-three SPAC,427950,0
하나금융22호기업인수목적,Hana Financial Twenty-two SPAC,418170,0
하나금융21호기업인수목적,Hana Financial Twenty-one SPAC,406760,0
하나금융20호기업인수목적,Hana Financial Twenty Special Purpose Acquisition Company,400560,0
하나금융19호기업인수목적,Hana Financial Nineteen Special Purpose Acquisition Company,388220,0
하나금융16호기업인수목적,Hana Financial Sixteenth Special Purpose Acquisition Company,343510,0
하나금융15호기업인수목적,Hana Financial Fifteenth Special Purpose Acquisition Company,341160,0
하나금융14호기업인수목적,Hana Financial Fourteen Special Purpose Acquisition Company,332710,0
하나IB증권,Hana Investment Banking & Securities Inc.,003330,0
하나34호스팩,Hana Thirty-four Special  Purpose Acquisition Company,484130,0
하나33호스팩,Hana 33 Special Purpose Acquisition Company,475250,0
하나32호스팩,Hana 32 Special Purpose Acquistion Company,475240,0
하나31호스팩,Hana 31 Special Purpose Acquisition Company,469900,0
하나30호스팩,Hana 30 Special Purpose Acquisition Company,469880,0
하나29호스팩,Hana Twenty-nine Special Purpose Acquisition Company,454640,0
하나28호스팩,Hana 28 Special Purpose Acquisition Company,454750,0
하나27호스팩,Hana 27 Special Purpose Acquisition Company,448370,0
하나26호스팩,Hana 26 Special Purpose Acquisition Company,446750,0
핑거스토리,"Finger Story CO., LTD.",417180,0
핑거,Finger Inc.,163730,0
핌스,PIMS Inc.,347770,0
필옵틱스,"PHILOPTICS CO., LTD.",161580,0
필에너지,"PHILENERGY CO., LTD.",378340,0
핀텔,"Pintel Co.,Ltd.",291810,0
픽셀플러스,"Pixelplus. Co., Ltd.",087600,0
피플바이오,"PeopleBio, Inc.",304840,0
피코소프트,"picosoft co.,ltd.",039580,0
피코그램,"picogram Co., Ltd.",376180,0
피케이엘,Photronics Korea Ltd,039870,0
피제이전자,"PJ ELECTRONICS CO., LTD.",006140,0
피제이메탈,"PJ METAL CO., LTD",128660,0
피엠티,Protec Mems Technology Inc.,147760,0
피엠디아카데미,PMD ACADEMY CORP.,144740,0
피엘에이,"PLA Co., Ltd.",082390,0
피엔티엠에스,"People & Technology Ms, Inc.",257370,0
피엔티,"PEOPLE & TECHNOLOGY, INC.",137400,0
피엔케이피부임상연구센타,"P&K Skin Research Center Co.,Ltd.",347740,0
피엔에이치테크,"P&H TECH Co., Ltd.",239890,0
피엔에스커튼월,"PNS CURTAINWALL CO., LTD",033220,0
피엔아이컴퍼니,"PNIcompany.Co.,Ltd.",242350,0
피에이치에이,"PHA Co., Ltd.",043370,0
피에스텍,"PS Tec. Co., Ltd.",002230,0
피에스케이홀딩스,PSK HOLDINGS INC.,031980,0
피에스케이,PSK INC.,319660,0
피앤텔,PEOPLE & TELECOMMUNICATION INC.,054340,0
피앤에스미캐닉스,"P&S Mechanics Co., Ltd.",460940,0
피앤씨테크,"PNC Technologies Co.,Ltd.",237750,0
피아이이,"PIE CO., LTD.",452450,0
피씨엘,PCL. Inc,241820,0
피씨디렉트,"PC Direct, Inc.",051380,0
피델릭스,"Fidelix Co., Ltd.",032580,0
피더블유제네틱스,"PWGenetics Co., Ltd.",065910,0
피노텍,"Finotek Co.,Ltd.",150440,0
피노,FINO INC.,033790,0
플리토,Flitto Inc.,300080,0
플루토스,"Plutus Investment Co.,Ltd",019570,0
플렉스컴,FLEXCOM INC.,065270,0
플레이위드,PLAYWITH KOREA Inc.,023770,0
플레이디,"PlayD Co., Ltd.",237820,0
플레이그램,"Playgram Co., Ltd.",009810,0
플럼라인생명과학,"Plumbline Life Sciences, Inc.",222670,0
플러스프로핏,"Plus Profit Co., Ltd",036660,0
플랜티넷,"PLANTYNETCo.,Ltd.",075130,0
플랜텍,"PLANTEC Co.,Ltd",051310,0
플래티어,"Plateer Co., Ltd.",367000,0
플래스크,"Flask Co., Ltd.",041590,0
플래닛팔이,Planet82 Inc.,057330,0
플라즈맵,"Plasmapp Co., Ltd.",405000,0
프리젠,PREGEN INC.,060910,0
프리엠스,FreeMs Corporation,053160,0
프리시젼바이오,Precision Biosensor Inc.,335810,0
